Smiles,Molecule Name,Standard Value,Standard Units
O=C(N[C@@](C(=O)N[C@@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)[C@](NC(=O)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)CCCCN)CCCNC(=N)N)CCCNC(=N)N,,56.599998,nM
Brc1c(-c2c3c([nH]cc3)ncc2)sc(C(=O)N[C@](CN)Cc2ccccc2)c1,,2,nM
Brc1c(-c2c3c([nH]cc3)ncc2)sc(C(=O)N[C@](CN)Cc2ccc(F)cc2)c1,,2,nM
Clc1c(F)cc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNC2CCOCC2)cc1,,12,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)[C@]2NCCOC2)cc1,,26,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNC2CCC(OC)CC2)cc1,,4,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](O)C[C@@](C)c34)CC2)CNCC2CC2)cc1,,5,nM
Clc1ccc([C@](C(=O)N2CCN(c3ncnc4[C@](F)C[C@@](C)c34)CC2)CNC(C)C)cc1,,10,nM
O=C1NC(=O)C=2c3c4c(n(c3)CCO[C@](CN(C)C)CCn3c5c(c(c3)C1=2)cccc5)cccc4,RUBOXISTAURIN,1400,nM
O=C(N)c1ccc(-c2[nH]c(c(-c3ncccc3)n2)-c2cc3OCOc3cc2)cc1,SB-431542,10000,nM
Fc1cc2/C(=C/c3c(C)c(C(=O)NCCN(CC)CC)c(C)[nH]3)/C(=O)Nc2cc1,SUNITINIB,10000,nM
FC(F)(F)c1c(CN2CCN(CC)CC2)ccc(NC(=O)Nc2ccc(Oc3ncnc(NC)c3)cc2)c1,AST-487,10000,nM
O=C(N(C)[C@]1[C@@](OC)[C@]2(C)O[C@@](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1)c1ccccc1,MIDOSTAURIN,10000,nM
O=C(O)c1c2c(nc3C(=C4CCCC4)CCc13)cccc2,,6309.5698,nM
O=[N+]([O-])c1cc(C(=O)Nc2n(CCCO)c3c(n2)cccc3)ccc1,,10000,nM
O=C1C(=O)C(Nc2ccncc2)=C1NC(C(C)(C)C)C,,10000,nM
S(=O)(=O)(N(C)c1c(CNc2c(C(F)(F)F)cnc(Nc3cc4c(NC(=O)C4)cc3)n2)cccn1)C,PF-00562271,10000,nM
